FID,level,dx,dy,Field4,Field5,Field6,Field7,Field8,Field9,Field10
0,4,40494891.729999997000000,4139925.558000000200000, , , , , , , 
1,1,40540999.409999996000000,4157535.654000000100000, , , , , , , 
2,2,40513855.090000004000000,4137164.000000000000000, , , , , , , 
3,1,40517342.009999998000000,4135742.410000000100000, , , , , , , 
4,4,40512943.119999997000000,4144566.997000000000000, , , , , , , 
5,2,40521740.890000001000000,4143038.117999999800000, , , , , , , 
6,2,40519112.289999999000000,4141200.779999999800000, , , , , , , 
7,1,40548670.630000003000000,4155778.782999999800000, , , , , , , 
8,2,40490785.630000003000000,4081721.265000000100000, , , , , , , 
9,2,40522800.369999997000000,4135098.671000000100000, , , , , , , 
10,4,40491796.100000001000000,4136419.822000000200000, , , , , , , 
11,2,40516537.329999998000000,4137660.216000000000000, , , , , , , 
12,3,40543386.609999999000000,4147101.719000000000000, , , , , , , 
13,1,40539336.420000002000000,4150065.600000000100000, , , , , , , 
14,1,40512061.100000001000000,4098589.941999999800000, , , , , , , 
15,4,40511548.359999999000000,4141401.947999999900000, , , , , , , 
16,4,40530793.640000001000000,4121217.154000000100000, , , , , , , 
17,2,40542850.159999996000000,4144996.157000000100000, , , , , , , 
18,1,40551929.560000002000000,4149636.441000000100000, , , , , , , 
19,1,40545787.219999999000000,4156972.382000000200000, , , , , , , 
20,1,40516765.320000000000000,4149435.273000000000000, , , , , , , 
21,1,40535473.979999997000000,4150467.936999999900000, , , , , , , 
22,2,40520238.829999998000000,4140583.862999999900000, , , , , , , 
23,1,40500593.240000002000000,4128617.564999999900000, , , , , , , 
24,1,40530337.479999997000000,4140610.686000000200000, , , , , , , 
25,1,40536922.399999999000000,4144982.745999999800000, , , , , , , 